,year,type,country,activity,age,species,month,fatal,gender
0,2018,Boating,usa,Paddling,57.0,White,Jun,N,F
1,2018,Unprovoked,brazil,Swimming,18.0,Tiger,Jun,Y,M
2,2018,Unprovoked,usa,Walking,15.0,Bull,May,N,M
3,2018,Provoked,australia,Feeding sharks,32.0,Grey,May,N,M
4,2018,Invalid,england,Fishing,21.0,Unspecified,May,N,M
5,2018,Unprovoked,costa rica,Scuba diving,30.0,Tiger,Apr,N,M
6,2018,Unprovoked,australia,Surfing,60.0,Unspecified,Apr,N,M
7,2018,Unprovoked,maldives,Fishing,32.0,Tiger,Apr,N,M
8,2018,Unprovoked,south africa,Paddle-skiing,33.0,White,Apr,N,M
9,2018,Unprovoked,south africa,Surfing,19.0,White,Apr,N,M
10,2018,Unprovoked,usa,Stand-Up Paddleboarding,25.0,Tiger,Mar,N,M
11,2018,Unprovoked,australia,Wading,10.0,Unspecified,Mar,N,M
12,2018,Unprovoked,australia,Swimming,25.0,Unspecified,Mar,N,M
13,2018,Unprovoked,australia,Surfing,18.0,Unspecified,Mar,N,M
14,2018,Unprovoked,australia,Swimming,55.0,White,Feb,N,F
15,2018,Unprovoked,australia,Walking,35.0,Bull,Feb,N,M
16,2018,Unprovoked,brazil,Surfing,20.0,Unspecified,Jan,N,M
17,2017,Unprovoked,usa,Surfing,54.0,Tiger,Dec,N,F
18,2017,Unprovoked,usa,Spearfishing,25.0,White,Nov,N,M
19,2017,Unprovoked,australia,Surfing,25.0,Unspecified,Nov,N,M
20,2017,Unprovoked,cuba,Night bathing,22.0,Tiger,Nov,Y,M
21,2017,Unprovoked,australia,Surfing,31.0,Unspecified,Oct,N,M
22,2017,Unprovoked,australia,Kayaking / Fishing,15.0,White,Oct,N,F
23,2017,Unprovoked,usa,Surfing,54.0,Tiger,Oct,N,M
24,2017,Unprovoked,usa,Snorkeling,40.0,Unspecified,Oct,N,F
25,2017,Invalid,usa,Surfing,33.0,Unspecified,Sep,Unknown,M
26,2017,Unprovoked,usa,Surfing,18.0,Unspecified,Sep,N,M
27,2017,Unprovoked,australia,Surfing,35.0,White,Sep,N,M
28,2017,Unprovoked,australia,Surfing,37.0,White,Aug,N,M
29,2017,Invalid,spain,Swimming,11.0,Unspecified,Aug,Unknown,F
30,2017,Unprovoked,usa,SUP,25.0,White,Aug,N,M
31,2017,Unprovoked,usa,Swimming,13.0,Unspecified,Aug,N,M
32,2017,Provoked,usa,Fishing,34.0,Unspecified,Aug,N,M
33,2017,Invalid,usa,Swimming,10.0,Unspecified,Jul,Unknown,M
34,2017,Boating,usa,Kayaking,40.0,White,Jul,N,M
35,2017,Unprovoked,usa,SUP,50.0,White,Jul,N,M
36,2017,Unprovoked,usa,Swimming,46.0,Bull,Jul,N,M
37,2017,Unprovoked,south africa,Surfing,13.0,White,Jul,N,F
38,2017,Unprovoked,australia,Body boarding,48.0,White,Jun,N,M
39,2017,Unprovoked,bahamas,Snorkeling,32.0,Tiger,Jun,N,F
40,2017,Invalid,usa,Surfing,18.0,Unspecified,May,Unknown,F
41,2017,Unprovoked,australia,Surfing,17.0,White,Apr,Y,F
42,2017,Unprovoked,usa,Surfing,28.0,Tiger,Apr,N,M
43,2017,Unprovoked,usa,Swimming,17.0,Bull,Apr,N,F
44,2017,Unprovoked,australia,Scuba Diving,55.0,Bull,Jan,N,M
45,2017,Unprovoked,indonesia,Surfing,48.0,Bull,Jan,N,M
46,2017,Invalid,australia,Wading,20.0,Unspecified,Jan,Unknown,M
47,2016,Unprovoked,south africa,Surf skiing ,55.0,White,Dec,N,M
48,2016,Invalid,usa,Surfing,19.0,Unspecified,Dec,Unknown,M
49,2016,Provoked,australia,Surf fishing,20.0,Unspecified,Dec,N,M
50,2016,Unprovoked,australia,Surfing,65.0,White,Dec,N,M
51,2016,Provoked,australia,Fishing,25.0,Unspecified,Nov,N,M
52,2016,Unprovoked,usa,Floating,58.0,Tiger,Nov,N,F
53,2016,Unprovoked,usa,Surfing,36.0,Unspecified,Oct,N,M
54,2016,Unprovoked,australia,Surfing,17.0,White,Sep,N,M
55,2016,Unprovoked,usa,Wading,60.0,Unspecified,Sep,N,M
56,2016,Unprovoked,usa,Swimming,51.0,Tiger,Sep,N,F
57,2016,Unprovoked,usa,Surfing,25.0,Bull,Aug,N,M
58,2016,Unprovoked,usa,SUP Foil boarding,21.0,Tiger,Aug,N,M
59,2016,Unprovoked,spain,Swimming,40.0,Unspecified,Jul,N,M
60,2016,Provoked,australia,Fishing,31.0,Unspecified,Jul,N,M
61,2016,Unprovoked,usa,Kite surfing,61.0,White,Jul,N,M
62,2016,Provoked,usa,Fishing,59.0,Unspecified,Jul,N,M
63,2016,Provoked,australia,Fishing,34.0,Unspecified,Jul,N,M
64,2016,Unprovoked,usa,Floating,42.0,Unspecified,Jun,N,M
65,2016,Unprovoked,usa,Floating in tube,6.0,Unspecified,Jun,N,F
66,2016,Unprovoked,usa,Standing,19.0,Unspecified,Jun,N,M
67,2016,Invalid,usa,Surfing,27.0,Unspecified,Jun,Unknown,M
68,2016,Unprovoked,australia,Diving,60.0,Unspecified,Jun,Y,F
69,2016,Unprovoked,egypt,Swimming,23.0,Unspecified,Jun,N,M
70,2016,Unprovoked,australia,Surfing,29.0,White,May,Y,M
71,2016,Unprovoked,usa,Swimming,13.0,Unspecified,May,N,M
72,2016,Unprovoked,usa,Swimming,22.0,Bull,May,N,F
73,2016,Unprovoked,usa,Swimming,48.0,Unspecified,May,N,M
74,2016,Provoked,usa,Teasing a shark,23.0,Unspecified,May,N,F
75,2016,Provoked,new zealand,Fishing,39.0,Unspecified,May,N,M
76,2016,Unprovoked,indonesia,Surfing,24.0,Bull,Apr,N,M
77,2016,Unprovoked,australia,Swimming,12.0,Unspecified,Apr,N,M
78,2016,Provoked,french polynesia,Spearfishing,22.0,Grey,Apr,Unknown,M
79,2016,Provoked,french polynesia,Spearfishing,26.0,Grey,Apr,N,M
80,2016,Unprovoked,new caledonia,Walking,25.0,Tiger,Apr,Y,F
81,2016,Unprovoked,usa,Paddle boarding,48.0,Tiger,Jan,N,M
82,2016,Unprovoked,australia,Wading,11.0,Unspecified,Jan,N,M
83,2016,Unprovoked,australia,Spearfishing,31.0,Unspecified,Jan,N,M
84,2015,Unprovoked,usa,Paddle boarding,25.0,Unspecified,Dec,N,M
85,2015,Unprovoked,australia,Surfing,43.0,Unspecified,Dec,N,M
86,2015,Unprovoked,ecuador,Snorkeling,55.0,Unspecified,Nov,N,M
87,2015,Unprovoked,australia,Surfing,20.0,Bull,Nov,N,M
88,2015,Invalid,usa,Surfing,9.0,Unspecified,Nov,Unknown,F
89,2015,Unprovoked,usa,Wading,28.0,Unspecified,Nov,N,F
90,2015,Unprovoked,south africa,Surfing,42.0,White,Oct,N,M
91,2015,Unprovoked,usa,Surfing,21.0,Unspecified,Oct,N,M
92,2015,Unprovoked,usa,Surfing,21.0,Unspecified,Oct,N,M
93,2015,Invalid,usa,Surfing,32.0,Unspecified,Oct,Unknown,M
94,2015,Unprovoked,usa,Swimming,44.0,Tiger,Oct,N,M
95,2015,Unprovoked,usa,Surfing,25.0,Tiger,Oct,N,M
96,2015,Unprovoked,usa,Wading,13.0,Unspecified,Oct,N,M
97,2015,Unprovoked,usa,Surfing,14.0,Unspecified,Oct,N,M
98,2015,Unprovoked,usa,Surfing,22.0,Unspecified,Sep,N,M
99,2015,Unprovoked,usa,Surfing,14.0,Unspecified,Sep,N,M
100,2015,Unprovoked,usa,Spearfishing,27.0,Tiger,Sep,N,M
101,2015,Unprovoked,usa,Wading,12.0,Unspecified,Sep,N,M
102,2015,Unprovoked,australia,Surfing,42.0,Unspecified,Sep,N,M
