,year,type,country,activity,age,species,month,fatal,gender
502,2006,Unprovoked,new zealand,Surfing,10,2 to 3 m shark,Dec,N,M
503,2006,Unprovoked,usa,Surfing,43,"White shark, 12' to 15' ",Dec,N,M
504,2006,Provoked,south africa,Fishing,25,"Raggedtooth shark, 150-kg",Dec,N,M
505,2006,Unprovoked,australia,Body boarding,15,"White shark, 5m ",Dec,N,M
506,2006,Unprovoked,usa,Swimming,29,2 m to 3 m shark,Nov,N,M
507,2006,Unprovoked,usa,Surfing,22,"White shark, 16' ",Oct,N,M
508,2006,Unprovoked,usa,Playing soccer in the water,18,3' to 3.5' shark,Oct,N,M
509,2006,Unprovoked,usa,Swimming,55,Spinner shark,Sep,N,M
510,2006,Invalid,australia,Diving,44,No shark involvement,Sep,,M
511,2006,Unprovoked,usa,Standing,33,3' shark,Sep,N,M
512,2006,Unprovoked,south africa,Lifesaving drill,24,White shark,Aug,N,M
513,2006,Unprovoked,usa,Surfing,41,White shark?,Jul,N,M
514,2006,Unprovoked,south africa,Surf-skiing,19,"White shark, 3m to 4m",Jul,N,M
515,2006,Unprovoked,usa,Surfing,14, ,Jul,N,M
516,2006,Unprovoked,usa,Standing,49,"Angel shark, 1.2m ",Jul,N,M
517,2006,Unprovoked,usa,Body boarding,14,5' to 6' spinner or bull shark,Jul,N,F
518,2006,Unprovoked,usa,Surfing,22,Possibly a 1' to 3' blacktip or spinner shark,Jun,N,F
519,2006,Unprovoked,usa,Surfing,24,2' to 3' shark,Jun,N,M
520,2006,Unprovoked,usa,Playing,7,3' to 4' shark,Jun,N,F
521,2006,Unprovoked,australia,Surfing,40,14' white shark,Jun,N,M
522,2006,Unprovoked,usa,Spearfishing,26,"Tiger shark, 8' to 12'",May,N,M
523,2006,Provoked,usa,Spearfishing,15,"Grey reef shark, 5' to 8' ",May,N,M
524,2006,Unprovoked,usa,Scuba diving,30s,"Tiger shark, 10' to 12'",May,N,F
525,2006,Provoked,australia,Snorkeling,46,"Wobbegong shark, 2 m ",May,N,M
526,2006,Provoked,usa,Fishing,35,"Bull shark, 4' to bull shark",Apr,N,M
527,2006,Unprovoked,australia,Surfing,15,"Bronze whaler shark, a  juvenile ",Apr,N,M
528,2006,Unprovoked,south africa,Body boarding,15,"Raggedtooth shark, 2.5 m to 3 m ",Apr,N,M
529,2006,Unprovoked,brazil,Swimming,35,Tiger shark,Apr,N,M
530,2006,Unprovoked,usa,Surfing,28,"Tiger shark, 10'  ",Mar,N,F
531,2006,Unprovoked,fiji,Surfing,21,"Tiger shark, 5' ",Mar,N,M
532,2006,Unprovoked,australia,Surfing,15,"Bronze whaler shark, 2 m",Mar,N,M
533,2006,Unprovoked,usa,Standing,15,5' to 7' shark,Feb,N,F
534,2006,Invalid,usa,Free diving,45,Invalid,Feb,,M
535,2006,Unprovoked,south africa,Surfing,15,Raggedtooth shark,Feb,N,M
536,2006,Unprovoked,tonga,Swimming,24,Tiger shark,Feb,Y,F
537,2006,Boating,usa,Kayaking,57,12' to 18' shark,Feb,N,M
538,2006,Unprovoked,australia,Scuba diving,52,3.5 m white shark,Jan,N,M
539,2006,Unprovoked,australia,Swimming,21,Bull shark,Jan,Y,F
540,2006,Unprovoked,usa,Surfing,21,4' shark,Jan,N,M
541,2005,Unprovoked,usa,Surfing,30,White shark,Dec,N,M
542,2005,Unprovoked,usa,Swimming,29,Tiger shark,Dec,N,M
543,2005,Unprovoked,australia,Spearfishing,44,Whitetip reef shark,Dec,N,M
544,2005,Unprovoked,usa,Surfing,23,4' shark,Nov,N,M
545,2005,Unprovoked,australia,Surfing,18,1.8 m shark,Nov,N,M
546,2005,Unprovoked,usa,Surfing,30s,4' shark,Nov,N,M
547,2005,Provoked,south africa,Fishing for sharks,32,"Raggedtooth shark, 2.5m ",Nov,N,M
548,2005,Unprovoked,usa,Surfing,18,6' shark,Nov,N,M
549,2005,Unprovoked,usa,Surfing,26,12' to 14' white shark,Nov,N,M
550,2005,Unprovoked,st. maartin,Standing,55,2' shark,Oct,N,M
551,2005,Unprovoked,south africa,Standing / Surfing,20,3 m shark,Oct,N,M
552,2005,Unprovoked,usa,Surfing,36,White shark,Oct,N,M
553,2005,Unprovoked,usa,Surfing,20,18' white shark,Oct,N,F
554,2005,Unprovoked,usa,Surfing,22,"Tiger shark, less than 10'",Oct,N,M
555,2005,Unprovoked,grand cayman,Scuba diving,57,Caribbean reef sharks,Oct,N,F
556,2005,Unprovoked,south africa,Surf-skiing,52,White shark,Oct,N,M
557,2005,Unprovoked,australia,Surfing,26,14' to 16' white shark,Sep,N,M
558,2005,Unprovoked,australia,Surfing,44,Bronze whaler shark,Sep,N,M
559,2005,Unprovoked,usa,Body surfing,68,3' to 4' shark,Sep,N,F
560,2005,Unprovoked,usa,Wading,18,Bull shark,Sep,N,F
561,2005,Unprovoked,australia,Surfing,40,4 m [13'] white shark,Sep,N,M
562,2005,Unprovoked,australia,Scuba diving,23,White shark,Aug,Y,M
563,2005,Unprovoked,usa,Surfing,37,juvenile white shark,Aug,N,M
564,2005,Invalid,usa,"Boogie boarding, kicked at object in the water",17,Shark involvement not confirmed,Aug,,M
565,2005,Unprovoked,usa,Swimming,8,Possibly a sandbar shark or small blacktip shark,Aug,N,M
566,2005,Unprovoked,usa,Surfing,16,1.8 m [6'] shark,Aug,N,M
567,2005,Invalid,usa,Surfing,25,Shark involvement not confirmed,Jul,,M
568,2005,Unprovoked,usa,Swimming,22,[4.5' to 5'] shark,Jul,N,M
569,2005,Unprovoked,usa,Holding onto an inflatable boat,14,[4' to 5'],Jul,N,F
570,2005,Unprovoked,usa,Fishing,16,Bull shark,Jun,N,M
571,2005,Unprovoked,usa,Swimming with boogie board,14,1.8 m [6'] bull shark,Jun,Y,F
572,2005,Unprovoked,vanuatu,Swimming,7,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",Jun,Y,F
573,2005,Invalid,usa,Swimming,49,Invalid,Jun,,M
574,2005,Unprovoked,usa,Swimming,20,"Unknown, but it was reported that a shark tooth was recovered from the wound",Jun,N,M
575,2005,Invalid,usa,Surfing,17,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",Jun,,M
576,2005,Unprovoked,south africa,Spearfishing (Free diving),22,White shark,Jun,Y,M
577,2005,Unprovoked,usa,Swimming,33,"""small shark""",May,N,M
578,2005,Unprovoked,south africa,Surfing,32,Raggedtooth shark,May,N,M
579,2005,Unprovoked,usa,Surfing,47,"Tiger shark, 3 m [10']",May,N,M
580,2005,Provoked,australia,Fishing,25,"Mako shark, 1.5 m [5'] ",Apr,N,M
581,2005,Unprovoked,australia,Surfing,40,Bronze whaler shark,Apr,N,M
582,2005,Unprovoked,south africa,Surfing,32,4 m [13'] shark,Mar,N,M
583,2005,Unprovoked,australia,Snorkeling,26,6 m [20'] white shark,Mar,Y,M
584,2005,Provoked,usa,Diving in aquarium display tank,45,"Sandtiger shark, 2.1 m [7'] ",Mar,N,M
585,2005,Boating,new zealand,Fishing from a kayak,39,White shark,Jan,N,M
586,2004,Unprovoked,australia,Scurfing (surfboard being  towed behind a boat),18,4.5 m & 5 m white shark ,Dec,Y,M
587,2004,Unprovoked,australia,Spearfishing,38,Bull shark,Dec,Y,M
588,2004,Unprovoked,south africa,Surfing,20,Raggedtooth shark,Nov,N,M
589,2004,Unprovoked,south africa,Swimming,77,6 m [20'] white shark,Nov,Y,F
590,2004,Unprovoked,usa,Surfing,38,5.5 m [18'] white shark,Nov,N,F
591,2004,Unprovoked,cuba,Diving,40,2.5 m [8.25'] bull shark,Oct,N,M
592,2004,Unprovoked,south africa,Chumming for white sharks,52,2 m [6.75'] white shark,Oct,N,M
593,2004,Unprovoked,australia,Surfing,59,"Bronze whaler shark, 2.4 m [8'] ",Oct,N,M
594,2004,Unprovoked,usa,Spearfishing,34,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",Oct,N,M
595,2004,Unprovoked,south africa,Surfing,34,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",Oct,N,M
596,2004,Unprovoked,reunion,Body boarding,15,Thought to involve a 2.5 m bull or tiger shark,Oct,N,M
597,2004,Unprovoked,usa,Surfing,26,White shark,Sep,N,M
598,2004,Unprovoked,usa,Jumping,17,2.4 m [8'] shark,Sep,N,F
599,2004,Unprovoked,brazil,Bathing,24,"Tiger shark, 1.5 m ",Aug,N,M
600,2004,Unprovoked,usa,Diving,50,4.9 m to 5.5 m [16' to 18'] white shark,Aug,Y,M
601,2004,Unprovoked,usa,Swimming,47,1.2 m [4'] shark,Aug,N,M
602,2004,Unprovoked,usa,Swimming,13,1.8 m [6'] shark,Jul,N,F
603,2004,Unprovoked,usa,Swimming,19,1.2 m to 1.5 m [4' to 5'] shark,Jul,N,F
604,2004,Unprovoked,usa,Wading / fishing & carrying a bag of fish,11,Bull shark,Jul,N,M
605,2004,Unprovoked,australia,Surfing,30,"2 sharks, 4.5 m & 3 m ",Jul,Y,M
606,2004,Unprovoked,usa,Wading,7,4' to 5' shark,Jul,N,M
607,2004,Unprovoked,usa,Surfing,45,"9'2"" white shark",Jun,N,M
608,2004,Unprovoked,australia,Body boarding,17,"Bronze whaler shark, 2.5 m [8.25'] ",Jun,N,M
609,2004,Unprovoked,usa,Swimming,8,1.2 m [4'] shark,Jun,N,M
610,2004,Unprovoked,south africa,"Swimming, poaching perlemoen",21,White shark,Jun,Y,M
611,2004,Unprovoked,usa,Wading,16,0.9 m to 1.5 m [3' to 5'] shark,May,N,M
612,2004,Unprovoked,brazil,Swimming,17,Bull shark,May,N,M
613,2004,Unprovoked,usa,Surfing,44,2.4 m to 3.7 m [8' to 12'] shark,May,N,M
614,2004,Provoked,bahamas,Free diving & spearfishing,63,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",May,N,M
615,2004,Unprovoked,usa,Tandem surfing,28,"Mako shark, 1.8 m [6']",May,N,M
